Word,CNC_M
stone,6.514
tray,6.514
waistcoat,6.514
accordion,6.5
airport,6.5
apricot,6.5
blade,6.5
bomb,6.5
bookcase,6.5
castle,6.5
cattle,6.5
cheetah,6.5
chocolate,6.5
cloak,6.5
cork,6.5
cream,6.5
cup,6.5
eye,6.5
eyelashes,6.5
knee,6.5
knuckles,6.5
animal_group,6.5
mallet,6.5
mule,6.5
muscle,6.5
page,6.5
paintbrush,6.5
painter,6.5
park,6.5
pelvis,6.5
pepper,6.5
pie,6.5
marjoram,6.5
scarecrow,6.5
shell,6.5
sink,6.5
skyscraper,6.5
sock,6.5
soil,6.5
sweater,6.5
ticket,6.5
waitress,6.5
ostrich,6.493
banjo,6.486
barge,6.486
cactus,6.486
lighthouse,6.486
peppermint,6.486
testicles,6.486
beard,6.485
breast,6.485
fireworks,6.485
granite,6.485
handbag,6.485
jungle,6.485
revolver,6.485
surfer,6.485
telephone,6.485
tobacco,6.485
cod,6.484
igloo,6.484
plate,6.484
sterling,6.484
railroad,6.484
skin,6.484
bear,6.483
yak,6.483
anchor,6.471
beef,6.471
boxer,6.471
bride,6.471
jail_cell,6.471
doorman,6.471
dough,6.471
gardener,6.471
jam,6.471
vulture,6.471
medal,6.471
oyster,6.471
shirt,6.471
vein,6.471
woods,6.471
bonnet,6.469
caravan,6.469
chisel,6.469
hammer,6.469
penguin,6.469
weapon,6.469
clock,6.467
vagina,6.467
chips,6.464
cabin,6.457
crayon,6.457
freckle,6.457
grave,6.457
jail,6.457
plug,6.457
ship,6.457
tent,6.457
throat,6.457
throne,6.457
tweezers,6.457
tyre,6.457
university,6.457
auditorium,6.455
blacksmith,6.455
glove,6.455
granny,6.455
gym,6.455
hallway,6.455
lid,6.455
remote_control,6.455
yo-yo,6.455
albatross,6.453
apron,6.452
butterfly,6.452
confetti,6.452
glass,6.452
lime,6.452
oboe,6.452
plaster,6.452
shawl,6.452
beak,6.441
buffalo,6.441
bulb,6.441
dagger,6.441
deck,6.441
gun,6.441
jug,6.441
machine,6.441
magazine,6.441
panda,6.441
parachute,6.441
pillow,6.441
kitty-cat,6.441
python,6.441
stallion,6.441
cotton,6.438
knuckle,6.438
oats,6.438
scalp,6.438
tie,6.438
cannon,6.433
dynamite,6.433
hands,6.433
whisky,6.433
wildebeest,6.433
bottle,6.429
box,6.429
maize,6.429
envelope,6.429
goose,6.429
rubble,6.429
jewellery,6.429
ketchup,6.429
toy,6.429
bird,6.429
laces,6.429
leaves,6.429
nail,6.429
screws,6.429
pipe,6.429
pole,6.429
reindeer,6.429
reptile,6.429
school,6.429
sperm,6.429
stag,6.429
surgeon,6.429
toucan,6.429
trophy,6.429
tree_trunk,6.429
animal,6.424
astronaut,6.424
duster,6.424
flea,6.424
kiwi_fruit,6.424
Mom,6.424
mug,6.424
sauna,6.424
weasel,6.424
beagle,6.419
grandfather,6.419
penicillin,6.419
spade,6.419
structural_member,6.419
tomb,6.419
trout,6.417
alcohol,6.412
arrow,6.412
axe,6.412
barley,6.412
boy,6.412
cathedral,6.412
cocaine,6.412
compass,6.412
baseball,6.412
dancer,6.412
egg,6.412
grandma,6.412
kids,6.412
leather,6.412
mammoth,6.412
pharmacist,6.412
pharmacy,6.412
pretzel,6.412
wheat,6.412
women,6.412
animals,6.406
battery,6.406
cloth,6.406
collar,6.406
excrement,6.406
peanut,6.406
stove,6.406
antelope,6.4
attic,6.4
chemist,6.4
chestnut,6.4
brake,6.4
peacock,6.4
grasshopper,6.4
goat,6.4
lice,6.4
orchard,6.4
radiator,6.4
stone,6.4
urine,6.4
vinegar,6.4
beaker,6.394
caviar,6.394
dictionary,6.394
gardens,6.394
ground,6.394
paint,6.394
pork,6.394
street,6.394
shoe,6.394
house,6.391
grandmother,6.389
butt,6.387
claws,6.387
electrician,6.387
girl,6.387
harp,6.387
heater,6.387
twins,6.387
ass,6.382
button,6.382
clothes,6.382
cocktail,6.382
doctor,6.382
farmer,6.382
insect,6.382
folder,6.382
garden,6.382
key,6.382
kite,6.382
lawyer,6.382
log,6.382
nest,6.382
pond,6.382
sheepskin,6.382
stick,6.382
tank,6.382
room,6.382
dentist,6.375
ice,6.375
lip,6.375
mosque,6.375
soldier,6.375
synagogue,6.375
thigh,6.375
pub,6.371
sword_cane,6.371
cemetery,6.371
chapel,6.371
dinosaur,6.371
doll,6.371
engine,6.371
factory,6.371
heel,6.371
kidney,6.371
limb,6.371
locker,6.371
ornament,6.371
person,6.371
pump,6.371
snowman,6.371
stick,6.371
ticket,6.371
tulip,6.371
wheel,6.371
lawn,6.371
card,6.367
sugar,6.367
amphibian,6.364
ribbon,6.364
catapult,6.364
cheque,6.364
continent,6.364
dandruff,6.364
fire,6.364
golf,6.364
bandage,6.364
harbour,6.364
president,6.364
salt,6.364
steel,6.364
wart,6.364
buzzard,6.357
page,6.357
brain,6.355
girls,6.355
pier,6.355
beehive,6.353
corn,6.353
highway,6.353
lace,6.353
lady,6.353
locket,6.353
bolt,6.353
toy,6.353
luggage,6.353
tsunami,6.353
monument,6.348
crown,6.345
gravel,6.345
thimble,6.345
bridesmaids,6.344
circus,6.344
concrete,6.344
silk,6.344
toast,6.344
wall,6.344
beverage,6.343
chain,6.343
cola,6.343
drawers,6.343
artifact,6.343
meat,6.343
pistol,6.343
plug,6.343
stadium,6.343
clown,6.339
mannequin,6.333
grenade,6.333
ink,6.333
nut,6.333
student,6.333
sapphire,6.333
sherry,6.333
stamp,6.333
straw,6.333
discotheque,6.324
coffee,6.324
flames,6.324
golfer,6.324
leaf,6.324
liquor,6.324
mussel,6.324
inkpen,6.324
pin,6.324
puffin,6.324
sauce,6.324
skunk,6.324
notepaper,6.324
stomach,6.324
store,6.324
ladies,6.323
seed,6.323
slippers,6.323
wagon,6.323
porpoise,6.321
vehicle,6.321
cap,6.314
drill,6.314
tumblers,6.314
lecturer,6.314
lumber,6.314
piano,6.314
measuring_stick,6.314
amplifier,6.314
sunburn,6.314
packet,6.313
food,6.313
island,6.313
