word,pos,mode,category
pensively,ADV,character,introversion
perceptively,ADV,character,openness
pessimistically,ADV,character,introversion
placidly,ADV,character,phlegmaticism
playfully,ADV,character,extroversion
politely,ADV,character,agreeableness
possessively,ADV,character,disagreeableness
pretentiously,ADV,character,disagreeableness
profanely,ADV,character,disagreeableness
proudly,ADV,character,extroversion
prudishly,ADV,character,disagreeableness
purposefully,ADV,character,conscientiousness
rashly,ADV,character,impulsiveness
reasonably,ADV,character,conscientiousness
rebelliously,ADV,character,impulsiveness
recklessly,ADV,character,impulsiveness
respectfully,ADV,character,agreeableness
responsibly,ADV,character,conscientiousness
restlessly,ADV,character,impulsiveness
reverently,ADV,character,agreeableness
rigidly,ADV,character,unreflectiveness
roughly,ADV,character,disagreeableness
rowdily,ADV,character,impulsiveness
rudely,ADV,character,disagreeableness
ruthlessly,ADV,character,disagreeableness
sadistically,ADV,character,disagreeableness
sarcastically,ADV,character,disagreeableness
scornfully,ADV,character,disagreeableness
selfishly,ADV,character,disagreeableness
selflessly,ADV,character,agreeableness
sensibly,ADV,character,openness
sensitively,ADV,character,neuroticism
sensually,ADV,character,extroversion
severely,ADV,character,conscientiousness
sexily,ADV,character,extroversion
shrewdly,ADV,character,openness
shyly,ADV,character,introversion
skeptically,ADV,character,disagreeableness
sloppily,ADV,character,impulsiveness
slothfully,ADV,character,impulsiveness
slyly,ADV,character,disagreeableness
sociably,ADV,character,extroversion
solemnly,ADV,character,introversion
somberly,ADV,character,introversion
sourly,ADV,character,disagreeableness
spiritedly,ADV,character,extroversion
sternly,ADV,character,conscientiousness
stingily,ADV,character,disagreeableness
stridently,ADV,character,disagreeableness
studiously,ADV,character,conscientiousness
stupidly,ADV,character,unreflectiveness
stubbornly,ADV,character,conscientiousness
suavely,ADV,character,extroversion
submissively,ADV,character,introversion
superstitiously,ADV,character,unreflectiveness
suspiciously,ADV,character,disagreeableness
sympathetically,ADV,character,agreeableness
tactfully,ADV,character,agreeablenessness
tactlessly,ADV,character,disagreeable
talkatively,ADV,character,extroversion
temperamentally,ADV,character,neuroticism
tenderly,ADV,character,agreeableness
tersely,ADV,character,introversion
thoughtfully,ADV,character,openness
thoughtlessly,ADV,character,impulsiveness
timidly,ADV,emotion,fear
timidly,ADV,character,introversion
tolerantly,ADV,character,openness
touchily,ADV,character,neuroticism
toughly,ADV,character,disagreeableness
unadventurously,ADV,character,introversion
uncharitably,ADV,character,disagreeableness
undemandingly,ADV,character,agreeableness
underhandedly,ADV,character,disagreeableness
understandingly,ADV,character,agreeableness
unemotionally,ADV,character,phlegmaticism
unflinchingly,ADV,character,extroversion
ungenerously,ADV,character,disagreeableness
uninhibitedly,ADV,character,extroversion
unkindly,ADV,character,disagreeableness
unreflectively,ADV,character,unreflectiveness
unscrupulously,ADV,character,disagreeableness
unsympathetically,ADV,character,disagreeableness
vainly,ADV,character,disagreeableness
vengefully,ADV,character,disagreeableness
vindictively,ADV,character,disagreeableness
wary,ADJ,emotion,fear
wary,ADJ,character,conscientiousness
warily,ADV,emotion,fear
warily,ADV,character,conscientiousness
warmly,ADV,character,agreeableness
wildly,ADV,character,impulsiveness
wisely,ADV,character,openness
zealously,ADV,character,extroversion
zestfully,ADV,character,extroversion
accidentally,ADV,evaluation,outcome
adversely,ADV,evaluation,outcome
beneficially,ADV,evaluation,outcome
effectively,ADV,evaluation,outcome
constructively,ADV,evaluation,outcome
well,ADV,evaluation,outcome
poorly,ADV,evaluation,outcome
greatly,ADV,evaluation,outcome
hugely,ADV,evaluation,outcome
